code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.AA,AA,美国铝业公司,66.53,65.183,54.893,49.069,159.57,-12.113,25.63085102,75.69947774,2.066489729,18.74555954,11.86900079,True,True,True,True,True
US.AAGIY,AAGIY,友邦保险(ADR),45.01,43.635,42.293,41.138,42.226,-3.906,31.64681563,46.83955294,3.15114014,3.173101932,2.807623122,True,True,True,True,True
US.AAIC.PRB,AAIC.PRB,ARLINGTON ASSET INVESTMENT CORP 7% CUM PRF 12/05/2022 SER B USD25,20.3,20.127,19.203,18.796,30.967,-9.616,15.50008781,22.45972739,0.8595419089,4.811748164,2.165354331,True,True,True,True,True
US.AAMCF,AAMCF,ACCELITRON ADV MTR CNTRL S INC,3700,888.283,296.425,222.671,1479900,0,0.25,3700,316.5339199,199.6653454,33.12240929,True,True,True,True,True
US.AAMI,AAMI,Acadian Asset Management,70.53,60.209,52.691,51.223,144.036,-3.515,28.90147355,73.09944551,17.14195552,14.26809132,2.865900084,True,True,True,True,True
US.AAOI,AAOI,Applied Optoelectronics,202.04,133.693,69.309,58.334,1241.567,-13.536,15.06000073,233.6695041,51.12234747,92.89414073,18.8140707,True,True,True,True,True
US.AAON,AAON,艾伦建材,140.345,94.207,92.966,91.161,127.168,-5.808,61.78026835,148.9988534,48.97512924,1.334896629,1.980013383,True,True,True,True,True
US.AAVMY,AAVMY,ABN AMRO BANK N.V. UNSPON ADS EACH REP 1 ORD SHS,38.14,32.627,32.443,31.594,67.448,-0.508,22.77722039,38.33474048,16.89704846,0.5671485374,2.687219092,True,True,True,True,True
US.ABBNY,ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,106.623,91.108,81.062,77.775,92.535,-1.128,55.37850261,107.8394288,17.02924002,12.39298315,4.226293796,True,True,True,True,True
US.ABCB,ABCB,ABC银行,83.62,80.785,78.158,76.517,42.005,-4.966,58.88525052,87.98956163,3.509314848,3.361140254,2.144621457,True,True,True,True,True
US.ABEV,ABEV,Ambev SA,3.15,2.998,2.683,2.541,58.416,-8.693,1.988435512,3.449899789,5.070046698,11.74058889,5.588351043,True,True,True,True,True
US.ABSI,ABSI,Absci Corp,5.625,3.674,3.466,3.3,151.116,-16.294,2.240000637,6.719948391,53.10288514,6.001154068,5.03030303,True,True,True,True,True
US.ABVX,ABVX,Abivax S.A.,121.26,117.106,115.856,106.689,2069.23,-18.524,5.590001982,148.829103,3.547213636,1.078925563,8.592263495,True,True,True,True,True
