code,ticker,name,price,ma50,ma150,ma200,market_cap,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_within_25_pct_of_52w_high
US.AAGIY,AAGIY,友邦保险(ADR),44.565,43.667,42.34,41.175,1.158767252e+11,40.82,-4.856,31.64678313,46.83952745,2.056472851,3.134152102,2.829386764,True,True,True,True,True,True
US.AAMI,AAMI,Acadian Asset Management,68.05,60.517,52.852,51.369,2424552633,135.455,-6.908,28.90148861,73.0997293,12.44774196,14.50276243,2.886955168,True,True,True,True,True,True
US.AAOI,AAOI,Applied Optoelectronics,193.305,135.567,70.393,59.193,1.551132807e+10,1183.565,-17.274,15.06000865,233.6689795,42.59001084,92.58591053,18.92115622,True,True,True,True,True,True
US.AAON,AAON,艾伦建材,134.7,95.048,93.189,91.43,1.10318691e+10,117.998,-9.61,61.7895577,149.0209094,41.71786887,1.994870639,1.923876189,True,True,True,True,True,True
US.AAVMY,AAVMY,ABN AMRO BANK N.V. UNSPON ADS EACH REP 1 ORD SHS,37.631,32.762,32.495,31.644,3.077427046e+10,65.211,-1.837,22.77753903,38.33521795,14.86173005,0.8216648715,2.689293389,True,True,True,True,True,True
US.ABBNY,ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,103.98,91.518,81.28,77.974,1.887751723e+11,87.764,-3.579,55.37802774,107.8395785,13.61699338,12.59596457,4.23987483,True,True,True,True,True,True
US.ABCB,ABCB,ABC银行,82.69,80.868,78.22,76.59,5565089998,40.442,-6.012,58.8783982,87.97931651,2.25305436,3.385323447,2.128215172,True,True,True,True,True,True
US.ABEV,ABEV,Ambev SA,3.085,3.001,2.69,2.545,4.804176111e+10,55.147,-10.577,1.988436773,3.449895441,2.799066978,11.56133829,5.697445972,True,True,True,True,True,True
US.ABSI,ABSI,Absci Corp,5.105,3.723,3.472,3.311,795895310.9,127.901,-24.032,2.240007723,6.719934709,37.12060167,7.229262673,4.862579281,True,True,True,True,True,True
US.ACA,ACA,Arcosa,124.96,114.096,110.319,106.288,6135081645,52.774,-7.833,81.79402254,135.5799798,9.521806198,3.423707612,3.792525967,True,True,True,True,True,True
US.ACGBY,ACGBY,农业银行(ADR),19.35,17.904,17.629,17.288,2.708868682e+11,35.151,-5.566,14.31731915,20.4905013,8.076407507,1.559929661,1.972466451,True,True,True,True,True,True
US.ACLLY,ACLLY,ACCELLERON INDUSTRIES AG UNSPON ADR EACH REP 1 ORD SHS,110.95,99.465,87.935,87.451,1.041834269e+10,97.462,-3.407,56.18802605,114.8633959,11.54677525,13.1119577,0.5534527907,True,True,True,True,True,True
US.ACLS,ACLS,Axcelis Technologies,154.48,116.638,95.875,93.078,4747772409,176.202,-9.981,55.93008016,171.608216,32.44397195,21.65632334,3.005006554,True,True,True,True,True,True
US.ACLX,ACLX,Arcellx,115.07,110.813,87.67,83.718,6732325464,140.429,-0.052,47.86028308,115.1298675,3.841607032,26.39785559,4.720609666,True,True,True,True,True,True
US.ACMR,ACMR,ACM Research,62.365,49.535,46.671,42.877,4130114142,185.125,-12.958,21.87286278,71.64931872,25.90087817,6.136573033,8.848566831,True,True,True,True,True,True
US.ACNB,ACNB,ACNB Corp.,52.34,49.638,48.753,47.44,534498383,33.352,-2.948,39.24950507,53.92985204,5.443410291,1.815272906,2.767706577,True,True,True,True,True,True
US.ACRS,ACRS,Aclaris Therapeutics,4.695,4.079,3.294,2.93,655720977.6,284.836,-8.834,1.220000208,5.149946252,15.10174062,23.83120826,12.42320819,True,True,True,True,True,True
US.ACSAY,ACSAY,ACS ACTIVIDADES DE CONSTRUCCION Y UNSP ADR EACH REPR 0.2 ORD,30.958,27.372,22.664,20.826,4.032445466e+10,154.265,-6.584,12.17548621,33.1399332,13.1009791,20.77303212,8.825506578,True,True,True,True,True,True
US.AD,AD,Array Digital Infrastructure,50.652,48.622,45.465,44.754,4378510836,47.628,-13.103,34.31056439,58.2896993,4.175064785,6.943802925,1.58868481,True,True,True,True,True,True
US.ADAM,ADAM,Adamas Trust Inc,8.746,7.898,7.425,7.173,785916264.5,57.961,-6.159,5.536809719,9.320020034,10.73689542,6.37037037,3.513174404,True,True,True,True,True,True
US.ADDHY,ADDHY,ADDTECH AB UNSPON ADS EACH REP 0.5 ORD SHS,17.5,17.384,17.19,17.097,9448496470,46.205,-23.913,11.96949489,22.99998686,0.6672802577,1.128563118,0.5439550798,True,True,True,True,True,True
US.ADEA,ADEA,Adeia,30.05,26.999,19.929,18.784,3318187439,160.782,-12.39,11.52303457,34.29973747,11.30041853,35.47593959,6.095613288,True,True,True,True,True,True
US.ADERY,ADERY,AIDA ENGINEERING ADR  EACH REPR  10 NPV,77.555,62.509,60.439,60.351,421388965.7,57.856,0,49.13021995,77.555,24.0701339,3.424940849,0.1458136568,True,True,True,True,True,True
US.ADI,ADI,亚德诺,419.84,356.429,305.854,289.154,2.049676333e+11,106.915,-3.644,202.9045743,435.7175474,17.79063993,16.53566734,5.775469127,True,True,True,True,True,True
US.ADM,ADM,Archer Daniels Midland,80.21,72.426,65.427,63.916,3.865773303e+10,75.592,-3.477,45.67975762,83.09936492,10.74752161,10.6974185,2.364040303,True,True,True,True,True,True
