code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.AAGIY,AAGIY,友邦保险(ADR),44.54,43.666,42.34,41.175,1.158117208e+11,56872869.38,40.741,-4.91,31.64678381,46.83983594,2.001557276,3.131790269,2.829386764,True,True,True,True,True,True,True
US.AAMI,AAMI,Acadian Asset Management,68.31,60.523,52.854,51.37,2433816170,127136831.2,136.355,-6.552,28.90144063,73.09947778,12.8661831,14.50978166,2.88884563,True,True,True,True,True,True,True
US.AAOI,AAOI,Applied Optoelectronics,192.96,135.56,70.39,59.191,1.549206981e+10,1.337574917e+10,1181.972,-17.377,15.0518108,233.5427181,42.342874,92.58417389,18.9201061,True,True,True,True,True,True,True
US.AAON,AAON,艾伦建材,134.295,95.04,93.186,91.428,1.100033309e+10,826699478.7,117.375,-9.869,61.78033353,148.9997892,41.30366162,1.989569249,1.922824518,True,True,True,True,True,True,True
US.ABBNY,ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,103.94,91.517,81.28,77.974,1.88702371e+11,124289742.6,87.691,-3.616,55.37825468,107.8394754,13.57452714,12.59473425,4.23987483,True,True,True,True,True,True,True
US.ABCB,ABCB,ABC银行,82.59,80.866,78.219,76.59,5557687823,136816633.1,40.255,-6.137,58.88560123,87.98994279,2.131921945,3.384088265,2.126909518,True,True,True,True,True,True,True
US.ABEV,ABEV,Ambev SA,3.075,3.001,2.69,2.545,4.788603417e+10,338715445.1,54.644,-10.866,1.988437961,3.449862006,2.465844718,11.56133829,5.697445972,True,True,True,True,True,True,True
US.ABSI,ABSI,Absci Corp,5.095,3.723,3.472,3.311,794336260.3,117297579.5,127.455,-24.181,2.240003517,6.719951463,36.85200107,7.229262673,4.862579281,True,True,True,True,True,True,True
US.ACA,ACA,Arcosa,125.19,114.1,110.32,106.289,6146373809,149937986.4,53.055,-7.663,81.79412629,135.5794535,9.719544259,3.426395939,3.792490286,True,True,True,True,True,True,True
US.ACLS,ACLS,Axcelis Technologies,154.76,116.643,95.877,93.08,4756377900,409561503.9,176.703,-9.818,55.93000437,171.608525,32.67834332,21.65900059,3.004941985,True,True,True,True,True,True,True
US.ACLX,ACLX,Arcellx,115.07,110.813,87.67,83.718,6732325464,2218957457,140.429,-0.052,47.86028308,115.1298675,3.841607032,26.39785559,4.720609666,True,True,True,True,True,True,True
US.ACMR,ACMR,ACM Research,62.67,49.541,46.673,42.878,4150312728,673945199,186.52,-12.533,21.87281865,71.64987938,26.50128177,6.144880338,8.850692663,True,True,True,True,True,True,True
US.ACRS,ACRS,Aclaris Therapeutics,4.735,4.08,3.294,2.93,661307524.8,36999971.31,288.114,-8.058,1.22000237,5.149985861,16.05392157,23.86156648,12.42320819,True,True,True,True,True,True,True
US.AD,AD,Array Digital Infrastructure,50.535,48.62,45.465,44.753,4368397005,61434487.81,47.287,-13.304,34.31056373,58.2898865,3.93870835,6.939403937,1.590954796,True,True,True,True,True,True,True
US.ADAM,ADAM,Adamas Trust Inc,8.74,7.898,7.425,7.173,785386083.9,41008082.37,57.855,-6.223,5.536726743,9.319982512,10.66092682,6.37037037,3.513174404,True,True,True,True,True,True,True
US.ADEA,ADEA,Adeia,30.08,27,19.929,18.784,3317635970,479809807.7,160.739,-12.405,11.53644066,34.33985958,11.40740741,35.4809574,6.095613288,True,True,True,True,True,True,True
US.ADI,ADI,亚德诺,420.29,356.438,305.857,289.156,2.051848841e+11,6784718387,107.134,-3.542,202.9072967,435.72332,17.9139149,16.53746686,5.775775014,True,True,True,True,True,True,True
US.ADM,ADM,Archer Daniels Midland,80.14,72.424,65.427,63.916,3.862399607e+10,1254636813,75.438,-3.561,45.67995531,83.09916113,10.65392688,10.69436165,2.364040303,True,True,True,True,True,True,True
US.ADTN,ADTN,亚川,14.85,14.114,10.744,10.376,1202821785,151608092.7,108.86,-20.545,7.110025855,18.68982443,5.214680459,31.36634401,3.546646106,True,True,True,True,True,True,True
US.AEG,AEG,荷兰全球保险,8.37,7.652,7.64,7.619,1.323728587e+10,126563919.9,30.778,-1.297,6.400159048,8.479985411,9.383167799,0.1570680628,0.2756267227,True,True,True,True,True,True,True
US.AEHR,AEHR,Aehr Test Systems,101.09,66.455,39.664,35.957,3179609447,1321149975,1117.042,-7.044,8.306204716,108.7503765,52.11797457,67.54487697,10.30953639,True,True,True,True,True,True,True
US.AER,AER,AerCap飞机租赁,140.24,140.065,138.783,133.604,2.340276695e+10,658562647.4,34.051,-8.991,104.6168995,154.09465,0.1249419912,0.9237442626,3.876380947,True,True,True,True,True,True,True
US.AESI,AESI,Atlas Energy Solutions,18.895,14.602,11.813,11.717,2360091010,283346314.5,147.261,-3.646,7.641722714,19.60997987,29.40008218,23.60958266,0.8193223521,True,True,True,True,True,True,True
US.AGX,AGX,Argan,710,581.987,425.67,379.171,9911930150,906066478.7,289.455,-5.143,182.3060431,748.4951032,21.99585214,36.72257852,12.26333238,True,True,True,True,True,True,True
US.AHR,AHR,American Healthcare REIT,49.85,49.777,48.334,46.484,9607207054,514599240.3,51.424,-8.328,32.92080516,54.37865433,0.1466540772,2.985476062,3.979864039,True,True,True,True,True,True,True
